suburb,postcode,incidents_recorded_2014_2023
Essendon Fields,3041,1694
Essendon North,3041,1644
Essendon West,3040,459
Eumemmerring,3177,2111
Eurack,3251,6
Eureka,3350,475
Euroa,3666,1223
Eurobin,3739,21
Evansford,3371,68
Eversley,3377,8
Everton,3678,66
Everton Upper,3678,49
Exford,3338,100
Eynesbury,3338,454
Fairbank,3951,2
Fairfield,3078,4205
Fairhaven,3231,85
Fairley,3579,7
Fairy Dell,3561,22
Fairy Dell,3875,2
Falls Creek,3699,3
Faraday,3451,68
Fawcett,3714,21
Fawkner,3060,7427
Fentons Creek,3518,2
Ferguson,3237,9
Fern Hill,3458,11
Fernbank,3864,90
Ferndale,3821,17
Fernihurst,3518,5
Fernshaw,3778,7
Ferntree Gully,3156,12519
Ferny Creek,3786,275
Fiery Flat,3518,5
Fingal,3939,248
Fish Creek,3959,183
Fish Point,3585,5
Fiskville,3342,14
Fitzroy,3065,20354
Fitzroy North,3065,7
Fitzroy North,3068,9088
Flaggy Creek,3875,19
Flagstaff,3465,43
Flamingo Beach,3851,2
Flemington,3031,9542
Flinders,3929,336
Flora Hill,3550,1846
Flowerdale,3717,316
Flynn,3844,90
Flynns Creek,3844,11
Footscray,3011,22402
Forbes,3764,44
Forest Hill,3131,4656
Forge Creek,3875,100
Forrest,3236,125
Foster,3960,573
Foster North,3960,32
Fosterville,3557,33
Foxhow,3323,15
Framlingham,3265,100
Framlingham East,3265,2
Franklinford,3461,15
Frankston,3199,55226
Frankston North,3200,6543
Frankston South,3199,4469
Fraser Rise,3336,2303
Freeburgh,3741,22
Frenchmans,3384,8
Freshwater Creek,3217,136
Fryerstown,3451,41
Fulham,3851,211
Fumina,3825,8
Fumina South,3825,8
Fyans Creek,3381,13
Fyansford,3218,606
Gaffneys Creek,3723,12
Gainsborough,3822,5
Gannawarra,3568,17
Gapsted,3737,48
Gardenvale,3185,449
Garfield,3814,513
Garfield North,3814,56
Garibaldi,3352,15
Garvoc,3265,105
Gateway Island,3691,36
Gatum,3407,1
Gazette,3289,10
Geelong,3220,23732
Geelong West,3218,6384
Gelantipy,3885,3
Gellibrand,3239,84
Gellibrand Lower,3237,13
Gelliondale,3971,13
Gembrook,3783,774
Genoa,3891,38
Gentle Annie,3833,40
Georges Creek,3700,25
Gerahmin,3546,4
Gerang Gerung,3418,53
Gerangamete,3249,34
Germania,3387,2
Gerrigerrup,3289,4
Gherang,3240,24
Gheringhap,3331,88
Ghin Ghin,3717,23
Giffard,3851,29
Giffard West,3851,33
Gil Gil,3480,8
Gilderoy,3797,25
Gillieston,3616,24
Gipsy Point,3891,2
Girgarre,3624,240
Girgarre East,3616,49
Gisborne,3437,3225
Gisborne South,3437,253
Gladfield,3575,4
Gladstone Park,3043,3833
Gladysdale,3797,65
Glen Alvie,3979,33
Glen Creek,3691,10
Glen Forbes,3990,39
Glen Huntly,3163,2477
Glen Iris,3146,7568
Glen Park,3352,99
Glen Valley,3898,5
Glen Waverley,3150,15229
Glen Wills,3898,4
Glenaire,3238,19
Glenaladale,3864,29
Glenalbyn,3517,24
Glenaroua,3764,55
Glenbrae,3352,14
Glenburn,3717,159
Glendaruel,3363,6
Glendonald,3364,11
Glenfalloch,3858,1
Glenfyne,3266,23
Glengarry,3854,294
Glengarry North,3854,49
Glengarry West,3854,37
Glengower,3370,4
Glenhope,3444,21
Glenhope East,3522,15
Glenisla,3314,16
Glenlee,3418,16
Glenlofty,3469,4
Glenlogie,3469,7
Glenloth,3527,5
Glenloth East,3527,5
Glenluce,3451,14
Glenlyon,3461,84
Glenmaggie,3858,195
Glenmore,3340,14
Glenorchy,3385,55
Glenormiston North,3265,14
Glenormiston South,3265,36
Glenpatrick,3469,20
Glenrowan,3675,514
Glenrowan West,3675,9
Glenroy,3046,14972
Glenthompson,3293,68
Glomar Beach,3851,14
Gnarwarre,3221,50
Gnotuk,3260,27
Gobarup,3559,40
Gobur,3719,14
Golden Beach,3851,289
Golden Gully,3555,185
Golden Point,3350,2190
Golden Point,3451,16
Golden Square,3555,5392
Goldie,3435,12
Goldsborough,3472,22
Gong Gong,3352,15
Gonn Crossing,3579,21
Goomalibee,3673,18
Goon Nure,3875,40
Goongerah,3888,24
Gooram,3666,38
Gooramadda,3685,32
Goorambat,3725,67
Goornong,3557,283
Gorae,3305,36
Gorae West,3305,52
Gordon,3345,348
Gormandale,3873,140
Goroke,3412,84
Goschen,3585,5
Goughs Bay,3723,102
Goulburn Weir,3608,71
Gowanbrae,3043,655
Gowanford,3544,1
Gowangardie,3669,4
Gowar East,3477,4
Gower,3463,6
Grahamvale,3631,203
Grampians,3314,7
Grand Ridge,3870,19
Grangefields,3335,1564
Granite Rock,3875,45
Grantville,3984,641
Granya,3701,35
Grassdale,3302,20
Grassmere,3281,53
Graytown,3608,34
Gre Gre,3477,3
Gre Gre North,3477,1
Gre Gre South,3477,7
Great Western,3374,359
Green Gully,3462,10
Greendale,3341,112
Greenhill,3444,11
Greens Creek,3387,12
Greensborough,3088,10638
Greenvale,3059,5602
Greenwald,3304,18
Grenville,3352,43
Greta,3675,13
Greta South,3675,17
Greta West,3675,22
Grey River,3234,5
Gringegalgona,3315,8
Gritjurk,3315,4
Grovedale,3216,6774
Gruyere,3770,210
Guildford,3451,120
Gunbower,3566,164
Gundowring,3691,12
Gunyah,3960,2
Guys Forest,3709,8
Guys Hill,3807,66
Gymbowen,3401,8
Haddon,3351,245
Hadfield,3046,3944
Hallam,3803,8003
Hallora,3818,36
Halls Gap,3381,342
Hallston,3953,38
Hamilton,3300,7129
Hamlyn Heights,3215,2392
Hampton,3188,5489
Hampton East,3188,3720
Hampton Park,3976,11738
Hansonville,3675,7
Happy Valley,3360,24
Happy Valley,3549,12
Harcourt,3453,348
Harcourt North,3453,65
Harkaway,3806,319
Harkness,3337,4496
Harmers Haven,3995,31
Harrietville,3741,69
Harrow,3317,45
Harston,3616,43
Hastings,3915,10791
Hattah,3501,49
Havelock,3465,33
Haven,3401,181
Hawkesdale,3287,61
Hawkhurst,3862,2
Hawthorn,3122,11265
Hawthorn East,3123,5562
Hazel Park,3966,11
Hazelwood,3840,141
Hazelwood North,3840,419
Hazelwood South,3840,54
Healesville,3777,3005
Heath Hill,3981,32
Heathcote,3523,1599
Heathcote Junction,3758,188
Heathcote South,3523,9
Heatherton,3202,1623
Heathmere,3305,63
Heathmont,3135,2903
Hedley,3967,59
Heidelberg,3084,12608
Heidelberg Heights,3081,4729
Heidelberg West,3081,7908
Hensley Park,3301,10
Henty,3312,11
Hepburn,3461,87
Hepburn Springs,3461,160
Herne Hill,3218,1417
Hernes Oak,3825,165
Hesket,3442,64
Hesse,3321,30
Hexham,3273,62
Heyfield,3858,1218
Heytesbury Lower,3268,7
Heywood,3304,780
Hiamdale,3847,7
Hiawatha,3971,15
High Camp,3764,62
Highett,3190,7145
Highett,3192,75
Highlands,3660,35
Highton,3216,4806
Hilgay,3315,2
Hill End,3825,42
Hillcrest,3351,32
Hilldene,3660,77
Hillside,3037,4549
Hillside,3875,80
Hinnomunjie,3898,2
Hmas Cerberus,3920,59
Hoddles Creek,3139,138
Hollands Landing,3862,38
Homebush,3465,8
Homerton,3304,8
Homewood,3717,25
Hopetoun,3396,210
Hopetoun Park,3340,200
Hoppers Crossing,3029,23408
Hordern Vale,3238,18
Horfield,3567,26
Horsham,3400,14935
Hotham Heights,3741,1
Hotspur,3303,14
Howes Creek,3723,10
Howitt Plains,3858,4
Howqua,3723,32
Howqua Hills,3723,10
Howqua Inlet,3723,42
Hughesdale,3166,2946
